year,state_fips,state_abbr,state_name,population_total,population_adult_18_plus,population_male,population_female,education_bachelors_or_higher_25_plus,race_white_alone,race_black_alone,race_asian_alone,ethnicity_hispanic_or_latino,ethnicity_not_hispanic_or_latino,population_density_per_sq_mile
2000,11,DC,District of Columbia,572059.0,436253.0,269366.0,302693.0,150237.0,558613.0,176101.0,1713.0,44953.0,527106.0,9370.33579033579
2000,12,FL,Florida,15982378.0,11933746.0,7797715.0,8184663.0,2462328.0,15606063.0,12465029.0,53541.0,2682715.0,13299663.0,298.0410168735487
2000,13,GA,Georgia,8186453.0,5771683.0,4027113.0,4159340.0,1260178.0,8072265.0,5327281.0,21737.0,435227.0,7751226.0,142.3397015204607
2000,15,HI,Hawaii,1211537.0,884286.0,608671.0,602866.0,210041.0,952194.0,294102.0,3535.0,87699.0,1123838.0,188.63565237293756
2000,16,ID,Idaho,1293953.0,880088.0,648660.0,645293.0,170615.0,1268344.0,1177304.0,17645.0,101690.0,1192263.0,15.657117011071218
2000,17,IL,Illinois,12419293.0,8813787.0,6080336.0,6338957.0,2078049.0,12184277.0,9125471.0,31006.0,1530262.0,10889031.0,223.6947469989065
2000,18,IN,Indiana,6080485.0,4317099.0,2982474.0,3098011.0,755613.0,6004813.0,5320022.0,15815.0,214536.0,5865949.0,169.7221663194804
2000,19,IA,Iowa,2926324.0,2098341.0,1435515.0,1490809.0,402090.0,2894546.0,2748640.0,8989.0,82473.0,2843851.0,52.38944428401531
2000,20,KS,Kansas,2688418.0,1890000.0,1328474.0,1359944.0,438978.0,2631922.0,2313944.0,24936.0,188252.0,2500166.0,32.882339645239064
2000,21,KY,Kentucky,4041769.0,2928125.0,1975368.0,2066401.0,453469.0,3999326.0,3640889.0,8616.0,59939.0,3981830.0,102.35866378094299
2000,22,LA,Louisiana,4468976.0,3100947.0,2162903.0,2306073.0,519778.0,4420711.0,2856161.0,25477.0,107738.0,4361238.0,103.43918025918956
2000,23,ME,Maine,1274923.0,939438.0,620309.0,654614.0,198960.0,1262276.0,1236014.0,7098.0,9360.0,1265563.0,41.33600190902807
2000,24,MD,Maryland,5296486.0,3803521.0,2557794.0,2738692.0,1099360.0,5192899.0,3391308.0,15423.0,227916.0,5068570.0,545.6362889010909
2000,25,MA,Massachusetts,6349097.0,4673984.0,3058816.0,3290281.0,1418295.0,6203092.0,5367286.0,15015.0,428729.0,5920368.0,813.9805334830758
2000,26,MI,Michigan,9938444.0,7054379.0,4873095.0,5065349.0,1396259.0,9746028.0,7966053.0,58479.0,323877.0,9614567.0,175.78063952429213
2000,27,MN,Minnesota,4919479.0,3484634.0,2435631.0,2483848.0,868082.0,4836737.0,4400282.0,54967.0,143382.0,4776097.0,61.78174567990602
2000,28,MS,Mississippi,2844658.0,1971444.0,1373554.0,1471104.0,297091.0,2824637.0,1746099.0,11652.0,39569.0,2805089.0,60.62360956514753
2000,29,MO,Missouri,5595211.0,4001039.0,2720177.0,2875034.0,784476.0,5513150.0,4748083.0,25076.0,118592.0,5476619.0,81.3949269669917
2000,30,MT,Montana,902195.0,644755.0,449480.0,452715.0,142961.0,886465.0,817229.0,56068.0,18081.0,884114.0,6.198701714511858
